=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
                  Аляска СН-153 В хром/ХДП    Excel

                  Аризона СН-400 В хром/МБ    Excel

              Вермонт СН-151 В хром/ХДП/МБ    Excel

                   Верона К-10 В дерево/МБ    Excel

               Калифорния СН-438 В хром/МБ    Excel
              Калифорния СН-438 В хром/ХДП    Excel

                       Престиж Нептун хром    Excel

                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                Сириус С-102 Гольф пластик    Excel

                        Честер GTS TG хром    Excel

               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                        Модель Источник
          Дэли ch-503 white ch     JSON
                         Тоник     JSON
                    Epik е-277     JSON
                 Астек пвм б/п     JSON
                   Престиж cpt     JSON
                  Престиж люкс     JSON
                   Престиж пвм     JSON
      Самба люкс gtp tg столик     JSON
              Айкью сн-710 н_п     JSON
        Айкью сн-710 н пластик     JSON
         Бремен м-123 алюминий     JSON
  Вермонт сн-151 в хром хдп мб     JSON
          Кайман в топ-ган lux     JSON
      Калифорния в cн-438 хром     JSON
     Канзас м-111 пластик/хром     JSON
    Онтарио м-105 пластик/хром     JSON
Онтарио м-405 н/п пластик/хром     JSON
                    Ройс м-704     JSON
                 Палермо м-702     JSON
                         Изо-2     JSON
                         Изо-3     JSON
                       Клуб 4l     JSON
                       Клуб 4к     JSON
                      Клуб gts     JSON
                          Клуб     JSON
                     Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                Стул кассира Б/п со спинкой                   brutto                  -              -               Да
                Стул кассира Б/п со спинкой            package_depth                  -              -               Да
                Стул кассира Б/п со спинкой            package_width                540              -               Да
                Стул кассира Б/п со спинкой            package_depth                235              -               Да
                Стул кассира Б/п со спинкой           package_height                560              -               Да
                Стул кассира Б/п со спинкой                   brutto                8,4              -               Да
                Стул кассира Б/п со спинкой                   volume              0,071              -               Да
                     Фигаро GTS К13 TG/хром            package_width                  -              -               Да
                     Фигаро GTS К13 TG/хром                    netto                  -              -               Да
                     Фигаро GTS К13 TG/хром           package_height                  -              -               Да
                     Фигаро GTS К13 TG/хром                   volume                  -              -               Да
                     Фигаро GTS К13 TG/хром                   brutto                  -              -               Да
                     Фигаро GTS К13 TG/хром            package_depth                  -              -               Да
                     Фигаро GTS К13 TG/хром            package_width                760              -               Да
                     Фигаро GTS К13 TG/хром            package_depth                440              -               Да
                     Фигаро GTS К13 TG/хром           package_height                650              -               Да
                     Фигаро GTS К13 TG/хром                   brutto              11,72              -               Да
                     Фигаро GTS К13 TG/хром                   volume               0,22              -               Да
                Фигаро GTS К13 пиастра/хром            package_width                  -              -               Да
                Фигаро GTS К13 пиастра/хром                    netto                  -              -               Да
                Фигаро GTS К13 пиастра/хром           package_height                  -              -               Да
                Фигаро GTS К13 пиастра/хром                   volume                  -              -               Да
                Фигаро GTS К13 пиастра/хром                   brutto                  -              -               Да
                Фигаро GTS К13 пиастра/хром            package_depth                  -              -               Да
                Фигаро GTS К13 пиастра/хром            package_width                760              -               Да
                Фигаро GTS К13 пиастра/хром            package_depth                440              -               Да
                Фигаро GTS К13 пиастра/хром           package_height                650              -               Да
                Фигаро GTS К13 пиастра/хром                   brutto              11,72              -               Да
                Фигаро GTS К13 пиастра/хром                   volume               0,22              -               Да
                         Честер GTP TG хром            package_width                  -              -               Да
                         Честер GTP TG хром                    netto                  -            8.7               Да
                         Честер GTP TG хром           package_height                  -              -               Да
                         Честер GTP TG хром                   volume                  -              -               Да
                         Честер GTP TG хром                   brutto                  -              -               Да
                         Честер GTP TG хром            package_depth                  -              -               Да
                         Честер GTP TG хром            package_width                760              -               Да
                         Честер GTP TG хром            package_depth                440              -               Да
                         Честер GTP TG хром           package_height                650              -               Да
                         Честер GTP TG хром                   brutto              10,42              -               Да
                         Честер GTP TG хром                   volume               0,22              -               Да
                    Честер GTP пиастра хром            package_width                  -              -               Да
                    Честер GTP пиастра хром                    netto                  -           9.65               Да
                    Честер GTP пиастра хром           package_height                  -              -               Да
                    Честер GTP пиастра хром                   volume                  -              -               Да
                    Честер GTP пиастра хром                   brutto                  -              -               Да
                    Честер GTP пиастра хром            package_depth                  -              -               Да
                    Честер GTP пиастра хром            package_width                760              -               Да
                    Честер GTP пиастра хром            package_depth                440              -               Да
                    Честер GTP пиастра хром           package_height                650              -               Да
                    Честер GTP пиастра хром                   brutto              10,42              -               Да
                    Честер GTP пиастра хром                   volume               0,22              -               Да
                    Честер GTS пиастра хром            package_width                  -              -               Да
                    Честер GTS пиастра хром                    netto                  -              -               Да
                    Честер GTS пиастра хром           package_height                  -              -               Да
                    Честер GTS пиастра хром                   volume                  -              -               Да
                    Честер GTS пиастра хром                   brutto                  -              -               Да
                    Честер GTS пиастра хром            package_depth                  -              -               Да
                    Честер GTS пиастра хром            package_width                760              -               Да
                    Честер GTS пиастра хром            package_depth                440              -               Да
                    Честер GTS пиастра хром           package_height                650              -               Да
                    Честер GTS пиастра хром                   brutto                9,3              -               Да
                    Честер GTS пиастра хром                   volume               0,22              -               Да
                        Шелл GTS С-21 белый            package_width                  -              -               Да
                        Шелл GTS С-21 белый                    netto                  -           5.45               Да
                        Шелл GTS С-21 белый           package_height                  -              -               Да
                        Шелл GTS С-21 белый                   volume                  -              -               Да
                        Шелл GTS С-21 белый                   brutto                  -              -               Да
                        Шелл GTS С-21 белый            package_depth                  -              -               Да
                        Шелл GTS С-21 белый            package_width                624              -               Да
                        Шелл GTS С-21 белый            package_depth                322              -               Да
                        Шелл GTS С-21 белый           package_height                665              -               Да
                        Шелл GTS С-21 белый                   brutto                7,2              -               Да
                        Шелл GTS С-21 белый                   volume               0,13              -               Да
                         Шелл GTS С-21 хром  backrest_to_seat_height     min=-, max=410   min=-, max=-               Да
                         Шелл GTS С-21 хром            package_width                  -              -               Да
                         Шелл GTS С-21 хром                    netto                  -           6.15               Да
                         Шелл GTS С-21 хром           package_height                  -              -               Да
                         Шелл GTS С-21 хром                   volume                  -              -               Да
                         Шелл GTS С-21 хром                   brutto                  -              -               Да
                         Шелл GTS С-21 хром            package_depth                  -              -               Да
                         Шелл GTS С-21 хром            package_width                624              -               Да
                         Шелл GTS С-21 хром            package_depth                322              -               Да
                         Шелл GTS С-21 хром           package_height                665              -               Да
                         Шелл GTS С-21 хром                   brutto                7,9              -               Да
                         Шелл GTS С-21 хром                   volume               0,13              -               Да
                       Шелл GTS С-21 черный            package_width                  -              -               Да
                       Шелл GTS С-21 черный                    netto                  -           5.45               Да
                       Шелл GTS С-21 черный           package_height                  -              -               Да
                       Шелл GTS С-21 черный                   volume                  -              -               Да
                       Шелл GTS С-21 черный                   brutto                  -              -               Да
                       Шелл GTS С-21 черный            package_depth                  -              -               Да
                       Шелл GTS С-21 черный            package_width                624              -               Да
                       Шелл GTS С-21 черный            package_depth                322              -               Да
                       Шелл GTS С-21 черный           package_height                665              -               Да
                       Шелл GTS С-21 черный                   brutto                7,2              -               Да
                       Шелл GTS С-21 черный                   volume               0,13              -               Да
                   Эрго Б/п овалина пластик            package_width                  -              -               Да
                   Эрго Б/п овалина пластик                    netto                  -              -               Да
                   Эрго Б/п овалина пластик           package_height                  -              -               Да
                   Эрго Б/п овалина пластик                   volume                  -              -               Да
                   Эрго Б/п овалина пластик                   brutto                  -              -               Да
                   Эрго Б/п овалина пластик            package_depth                  -              -               Да
                   Эрго Б/п овалина пластик            package_width                540              -               Да
                   Эрго Б/п овалина пластик            package_depth                235              -               Да
                   Эрго Б/п овалина пластик           package_height                560              -               Да
                   Эрго Б/п овалина пластик                   brutto                  7              -               Да
                   Эрго Б/п овалина пластик                   volume               0,07              -               Да
                       Айкью СН-710 пластик            package_width                  -              -               Да
                       Айкью СН-710 пластик                    netto                  -              -               Да
                       Айкью СН-710 пластик           package_height                  -              -               Да
                       Айкью СН-710 пластик                   volume                  -              -               Да
                       Айкью СН-710 пластик                   brutto                  -              -               Да
                       Айкью СН-710 пластик            package_depth                  -              -               Да
                       Айкью СН-710 пластик            package_width                630              -               Да
                       Айкью СН-710 пластик            package_depth                290              -               Да
                       Айкью СН-710 пластик           package_height                600              -               Да
                       Айкью СН-710 пластик                   brutto               13,5              -               Да
                       Айкью СН-710 пластик                   volume               0,11              -               Да
                      Альтаир В пластик 727            package_width                  -              -               Да
                      Альтаир В пластик 727                    netto                  -              -               Да
                      Альтаир В пластик 727           package_height                  -              -               Да
                      Альтаир В пластик 727                   volume                  -              -               Да
                      Альтаир В пластик 727                   brutto                  -              -               Да
                      Альтаир В пластик 727            package_depth                  -              -               Да
                      Альтаир В пластик 727            package_width                910              -               Да
                      Альтаир В пластик 727            package_depth                270              -               Да
                      Альтаир В пластик 727           package_height                690              -               Да
                      Альтаир В пластик 727                   brutto                 14              -               Да
                      Альтаир В пластик 727                   volume               0,17              -               Да
                Аляска СН-153 В хром/ХДП/МБ seat_width_with_armrests     min=660, max=-   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ          backrest_height     min=-, max=680   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ            package_width                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ                    netto                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ              chair_depth     min=640, max=-   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ               seat_depth     min=540, max=-   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ           package_height                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ     seat_to_floor_height   min=470, max=570   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ             chair_height min=1060, max=1160   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ                   volume                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ armrest_height_from_seat     min=260, max=-   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ               seat_width     min=-, max=500   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ           diameter_cross     min=-, max=700   min=-, max=-               Да
                Аляска СН-153 В хром/ХДП/МБ                   brutto                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ            package_depth                  -              -               Да
                Аляска СН-153 В хром/ХДП/МБ            package_width                760              -               Да
                Аляска СН-153 В хром/ХДП/МБ            package_depth                440              -               Да
                Аляска СН-153 В хром/ХДП/МБ           package_height                650              -               Да
                Аляска СН-153 В хром/ХДП/МБ                   brutto                 19              -               Да
                Аляска СН-153 В хром/ХДП/МБ                   volume               0,22              -               Да
                  Аризона СН-400 В хром/ХДП            package_width                  -              -               Да
                  Аризона СН-400 В хром/ХДП                    netto                  -              -               Да
                  Аризона СН-400 В хром/ХДП           package_height                  -              -               Да
                  Аризона СН-400 В хром/ХДП                   volume                  -              -               Да
                  Аризона СН-400 В хром/ХДП                   brutto                  -              -               Да
                  Аризона СН-400 В хром/ХДП            package_depth                  -              -               Да
                  Аризона СН-400 В хром/ХДП            package_width               1100              -               Да
                  Аризона СН-400 В хром/ХДП            package_depth                490              -               Да
                  Аризона СН-400 В хром/ХДП           package_height                676              -               Да
                  Аризона СН-400 В хром/ХДП                   brutto               23,8              -               Да
                  Аризона СН-400 В хром/ХДП                   volume              0,364              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727            package_width                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727                    netto                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727           package_height                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727                   volume                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727                   brutto                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727            package_depth                  -              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727            package_width                760              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727            package_depth                440              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727           package_height                650              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727                   brutto                 16              -               Да
   Аризона СН-400 Бюджет В пластик-люкс 727                   volume               0,22              -               Да
                              Артекс В хром            package_width                  -              -               Да
                              Артекс В хром                    netto                  -           18.2               Да
                              Артекс В хром           package_height                  -              -               Да
                              Артекс В хром                   volume                  -              -               Да
                              Артекс В хром                   brutto                  -              -               Да
                              Артекс В хром            package_depth                  -              -               Да
                              Артекс В хром            package_width               1100              -               Да
                              Артекс В хром            package_depth                490              -               Да
                              Артекс В хром           package_height                676              -               Да
                              Артекс В хром                   brutto               21,2              -               Да
                              Артекс В хром                   volume              0,364              -               Да
                            Атлант В дерево            package_width                  -              -               Да
                            Атлант В дерево                    netto                  -              -               Да
                            Атлант В дерево           package_height                  -              -               Да
                            Атлант В дерево                   volume                  -              -               Да
                            Атлант В дерево                   brutto                  -              -               Да
                            Атлант В дерево            package_depth                  -              -               Да
                            Атлант В дерево            package_width               1100              -               Да
                            Атлант В дерево            package_depth                490              -               Да
                            Атлант В дерево           package_height                676              -               Да
                            Атлант В дерево                   brutto               23,3              -               Да
                            Атлант В дерево                   volume              0,364              -               Да
                  Атлант В пластик-люкс 727            package_width                  -              -               Да
                  Атлант В пластик-люкс 727                    netto                  -              -               Да
                  Атлант В пластик-люкс 727           package_height                  -              -               Да
                  Атлант В пластик-люкс 727                   volume                  -              -               Да
                  Атлант В пластик-люкс 727                   brutto                  -              -               Да
                  Атлант В пластик-люкс 727            package_depth                  -              -               Да
                  Атлант В пластик-люкс 727            package_width               1100              -               Да
                  Атлант В пластик-люкс 727            package_depth                490              -               Да
                  Атлант В пластик-люкс 727           package_height                676              -               Да
                  Атлант В пластик-люкс 727                   brutto               20,5              -               Да
                  Атлант В пластик-люкс 727                   volume              0,364              -               Да
                           Атлант В пластик            package_width                  -              -               Да
                           Атлант В пластик                    netto                  -              -               Да
                           Атлант В пластик           package_height                  -              -               Да
                           Атлант В пластик                   volume                  -              -               Да
                           Атлант В пластик                   brutto                  -              -               Да
                           Атлант В пластик            package_depth                  -              -               Да
                           Атлант В пластик            package_width               1100              -               Да
                           Атлант В пластик            package_depth                490              -               Да
                           Атлант В пластик           package_height                676              -               Да
                           Атлант В пластик                   brutto               20,5              -               Да
                           Атлант В пластик                   volume              0,364              -               Да
                              Атлант В хром            package_width                  -              -               Да
                              Атлант В хром                    netto                  -              -               Да
                              Атлант В хром           package_height                  -              -               Да
                              Атлант В хром                   volume                  -              -               Да
                              Атлант В хром                   brutto                  -              -               Да
                              Атлант В хром            package_depth                  -              -               Да
                              Атлант В хром            package_width               1100              -               Да
                              Атлант В хром            package_depth                490              -               Да
                              Атлант В хром           package_height                676              -               Да
                              Атлант В хром                   brutto               20,5              -               Да
                              Атлант В хром                   volume              0,364              -               Да
                Атлант В/п пластик-люкс 727            package_width                  -              -               Да
                Атлант В/п пластик-люкс 727                    netto                  -              -               Да
                Атлант В/п пластик-люкс 727           package_height                  -              -               Да
                Атлант В/п пластик-люкс 727                   volume                  -              -               Да
                Атлант В/п пластик-люкс 727                   brutto                  -              -               Да
                Атлант В/п пластик-люкс 727            package_depth                  -              -               Да
                Атлант В/п пластик-люкс 727            package_width               1100              -               Да
                Атлант В/п пластик-люкс 727            package_depth                490              -               Да
                Атлант В/п пластик-люкс 727           package_height                676              -               Да
                Атлант В/п пластик-люкс 727                   brutto               21,7              -               Да
                Атлант В/п пластик-люкс 727                   volume              0,364              -               Да
                         Атлант В/п пластик            package_width                  -              -               Да
                         Атлант В/п пластик                    netto                  -           17.5               Да
                         Атлант В/п пластик           package_height                  -              -               Да
                         Атлант В/п пластик                   volume                  -              -               Да
                         Атлант В/п пластик                   brutto                  -              -               Да
                         Атлант В/п пластик            package_depth                  -              -               Да
                         Атлант В/п пластик            package_width               1100              -               Да
                         Атлант В/п пластик            package_depth                490              -               Да
                         Атлант В/п пластик           package_height                676              -               Да
                         Атлант В/п пластик                   brutto               21,7              -               Да
                         Атлант В/п пластик                   volume              0,364              -               Да
                            Атлант В/п хром            package_width                  -              -               Да
                            Атлант В/п хром                    netto                  -              -               Да
                            Атлант В/п хром           package_height                  -              -               Да
                            Атлант В/п хром                   volume                  -              -               Да
                            Атлант В/п хром                   brutto                  -              -               Да
                            Атлант В/п хром            package_depth                  -              -               Да
                            Атлант В/п хром            package_width               1100              -               Да
                            Атлант В/п хром            package_depth                490              -               Да
                            Атлант В/п хром           package_height                676              -               Да
                            Атлант В/п хром                   brutto               21,7              -               Да
                            Атлант В/п хром                   volume              0,364              -               Да
                        Борн С-44 В хром/МБ            package_width                  -              -               Да
                        Борн С-44 В хром/МБ                    netto                  -          19.45               Да
                        Борн С-44 В хром/МБ           package_height                  -              -               Да
                        Борн С-44 В хром/МБ                   volume                  -              -               Да
                        Борн С-44 В хром/МБ                   brutto                  -              -               Да
                        Борн С-44 В хром/МБ            package_depth                  -              -               Да
                        Борн С-44 В хром/МБ            package_width               1100              -               Да
                        Борн С-44 В хром/МБ            package_depth                490              -               Да
                        Борн С-44 В хром/МБ           package_height                676              -               Да
                        Борн С-44 В хром/МБ                   brutto               21,2              -               Да
                        Борн С-44 В хром/МБ                   volume              0,364              -               Да
                           Борн С-44 В хром            package_width                  -              -               Да
                           Борн С-44 В хром                    netto                  -              -               Да
                           Борн С-44 В хром           package_height                  -              -               Да
                           Борн С-44 В хром                   volume                  -              -               Да
                           Борн С-44 В хром                   brutto                  -              -               Да
                           Борн С-44 В хром            package_depth                  -              -               Да
                           Борн С-44 В хром            package_width               1100              -               Да
                           Борн С-44 В хром            package_depth                490              -               Да
                           Борн С-44 В хром           package_height                676              -               Да
                           Борн С-44 В хром                   brutto               21,2              -               Да
                           Борн С-44 В хром                   volume              0,364              -               Да
                  Бостон СН-277 пластик 727            package_width                  -              -               Да
                  Бостон СН-277 пластик 727                    netto                  -          12.75               Да
                  Бостон СН-277 пластик 727           package_height                  -              -               Да
                  Бостон СН-277 пластик 727                   volume                  -              -               Да
                  Бостон СН-277 пластик 727                   brutto                  -              -               Да
                  Бостон СН-277 пластик 727            package_depth                  -              -               Да
                  Бостон СН-277 пластик 727            package_width                910              -               Да
                  Бостон СН-277 пластик 727            package_depth                270              -               Да
                  Бостон СН-277 пластик 727           package_height                690              -               Да
                  Бостон СН-277 пластик 727                   brutto               14,7              -               Да
                  Бостон СН-277 пластик 727                   volume               0,17              -               Да
                         Бостон СН-277 хром            package_width                  -              -               Да
                         Бостон СН-277 хром                    netto                  -           12.9               Да
                         Бостон СН-277 хром           package_height                  -              -               Да
                         Бостон СН-277 хром                   volume                  -              -               Да
                         Бостон СН-277 хром                   brutto                  -              -               Да
                         Бостон СН-277 хром            package_depth                  -              -               Да
                         Бостон СН-277 хром            package_width                910              -               Да
                         Бостон СН-277 хром            package_depth                270              -               Да
                         Бостон СН-277 хром           package_height                690              -               Да
                         Бостон СН-277 хром                   brutto               15,9              -               Да
                         Бостон СН-277 хром                   volume               0,17              -               Да
                       Бостон Хэви Дьюти МБ            package_width                  -              -               Да
                       Бостон Хэви Дьюти МБ                    netto                  -           16.4               Да
                       Бостон Хэви Дьюти МБ           package_height                  -              -               Да
                       Бостон Хэви Дьюти МБ                   volume                  -              -               Да
                       Бостон Хэви Дьюти МБ                   brutto                  -              -               Да
                       Бостон Хэви Дьюти МБ            package_depth                  -              -               Да
                       Бостон Хэви Дьюти МБ            package_width                860              -               Да
                       Бостон Хэви Дьюти МБ            package_depth                800              -               Да
                       Бостон Хэви Дьюти МБ           package_height                430              -               Да
                       Бостон Хэви Дьюти МБ                   brutto               19,3              -               Да
                       Бостон Хэви Дьюти МБ                    netto                  -           16.4               Да
                       Бостон Хэви Дьюти МБ                   volume                0,3              -               Да
                               Бруно СН-707            package_width                  -              -               Да
                               Бруно СН-707                    netto                  -              -               Да
                               Бруно СН-707           package_height                  -              -               Да
                               Бруно СН-707                   volume                  -              -               Да
                               Бруно СН-707                   brutto                  -              -               Да
                               Бруно СН-707            package_depth                  -              -               Да
                               Бруно СН-707            package_width                800              -               Да
                               Бруно СН-707            package_depth                360              -               Да
                               Бруно СН-707           package_height                665              -               Да
                               Бруно СН-707                   brutto               18,6              -               Да
                               Бруно СН-707                   volume               0,19              -               Да
                  Вермонт СН-151 В хром/ХДП            package_width                  -              -               Да
                  Вермонт СН-151 В хром/ХДП                    netto                  -           16.8               Да
                  Вермонт СН-151 В хром/ХДП           package_height                  -              -               Да
                  Вермонт СН-151 В хром/ХДП                   volume                  -              -               Да
